tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,link,tx_amount_num
2014-07-07,2014-07-23,Roberts,Pat,Sale (Full),BIDU,"Baidu, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a473837b-327f-44e4-8d92-406b81eeadec/,15001.0
2014-07-07,2014-07-23,Roberts,Pat,Sale (Full),NFLX,"Netflix, Inc. (NASDAQ)","$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/a473837b-327f-44e4-8d92-406b81eeadec/,50001.0
2014-06-06,2014-07-22,Roberts,Pat,Sale (Full),AAPL,Apple Inc. (NASDAQ),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/e6f5aa66-afae-43a5-9462-b6e12ba8bac5/,50001.0
2014-06-24,2014-07-17,Whitehouse,Sheldon,Sale (Full),AMZN,Amazon.com Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/42514ae3-1a97-4c5d-8b79-ace9e67008e5/,15001.0
2014-07-02,2014-07-17,Whitehouse,Sheldon,Purchase,NOV,"National Oilwell Varco, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/42514ae3-1a97-4c5d-8b79-ace9e67008e5/,15001.0
2014-07-07,2014-07-17,Whitehouse,Sheldon,Purchase,KORS,Michael Kors Holdings Limited (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/42514ae3-1a97-4c5d-8b79-ace9e67008e5/,15001.0
2014-07-21,2014-08-26,Whitehouse,Sheldon,Sale (Partial),MCHP,Microchip Technology Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/064147b0-70e4-4673-89da-47696ed9f834/,15001.0
2014-07-21,2014-08-26,Whitehouse,Sheldon,Sale (Full),MDP,Meredith Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/064147b0-70e4-4673-89da-47696ed9f834/,15001.0
2014-07-29,2014-08-26,Whitehouse,Sheldon,Sale (Full),LNKD,LinkedIn Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/064147b0-70e4-4673-89da-47696ed9f834/,15001.0
2014-07-29,2014-08-26,Whitehouse,Sheldon,Sale (Full),VOD,Vodafone Group Public Limited Company (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/064147b0-70e4-4673-89da-47696ed9f834/,15001.0
2014-08-07,2014-08-15,Toomey,Patrick J,Sale (Full),LGP,Lehigh Gas Partners LP (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/53509c9e-b701-403e-b900-fd3a0db40067/,15001.0
2014-07-23,2014-08-14,Collins,Susan M,Purchase,ECL,Ecolab Inc. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/8287dd4c-edca-465c-8008-c792237b3a84/,15001.0
2014-07-23,2014-08-14,Collins,Susan M,Sale (Full),MLPRX,Oppenheimer SteelPath MLP Income C (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/8287dd4c-edca-465c-8008-c792237b3a84/,15001.0
2014-07-30,2014-08-12,Roberts,Pat,Purchase,BIDU,"Baidu, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/0deb4ff2-088b-4dd3-9cc1-58f5b600b39b/,15001.0
2014-07-17,2014-08-04,Carper,Thomas R,Sale (Partial),LNC,Lincoln National Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/64a8ee70-87a9-4f08-95d4-dfa5521d511c/,15001.0
2014-08-25,2014-09-22,Hoeven,John,Purchase,BX,The Blackstone Group L.P. (NYSE),"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/921b5d2e-4bab-4241-85c9-66d7be05aa83/,100001.0
2014-08-25,2014-09-22,Hoeven,John,Purchase,EL,The Est (NYSE),"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/921b5d2e-4bab-4241-85c9-66d7be05aa83/,100001.0
2014-08-25,2014-09-22,Hoeven,John,Purchase,YUM,"Yum! Brands, Inc. (NYSE)","$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/921b5d2e-4bab-4241-85c9-66d7be05aa83/,50001.0
2014-08-26,2014-09-22,Hoeven,John,Purchase,PEP,"Pepsico, Inc. (NYSE)","$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/921b5d2e-4bab-4241-85c9-66d7be05aa83/,100001.0
2014-09-16,2014-09-19,Whitehouse,Sheldon,Sale (Full),NEE,"NextEra Energy, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-09-03,2014-09-19,Whitehouse,Sheldon,Sale (Full),SLB,Schlumberger Limited (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-09-03,2014-09-19,Whitehouse,Sheldon,Sale (Full),NOV,"National Oilwell Varco, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-08-27,2014-09-19,Whitehouse,Sheldon,Sale (Partial),HON,Honeywell International Inc. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-08-27,2014-09-19,Whitehouse,Sheldon,Sale (Partial),ESS,Essex Property Trust Inc. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-09-16,2014-09-19,Whitehouse,Sheldon,Sale (Full),SLB,Schlumberger Limited (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-09-16,2014-09-19,Whitehouse,Sheldon,Sale (Full),SLB,Schlumberger Limited (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,15001.0
2014-09-04,2014-09-19,Whitehouse,Sheldon,Sale (Full),APA,Apache Corp. (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/e632ec04-6a32-4d25-97b0-31230d48b515/,50001.0
2014-09-02,2014-09-09,Toomey,Patrick J,Sale (Partial),IDV,iShares International Select Dividend (NYSEArca),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/df1f5423-6aa5-4b12-a044-283ee7422965/,15001.0
2014-09-02,2014-09-09,Toomey,Patrick J,Purchase,IXP,iShares Global Telecom (NYSEArca),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/df1f5423-6aa5-4b12-a044-283ee7422965/,15001.0
2014-09-02,2014-09-09,Toomey,Patrick J,Purchase,SDY,SPDR S&P Dividend ETF (NYSEArca),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/df1f5423-6aa5-4b12-a044-283ee7422965/,15001.0
2014-09-02,2014-09-09,Toomey,Patrick J,Sale (Partial),DWX,SPDR S&P International Dividend ETF (NYSEArca),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/df1f5423-6aa5-4b12-a044-283ee7422965/,15001.0
2014-08-08,2014-09-07,Booker,Cory A,Sale (Full),AMT,American Tower Corporation (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/7abb2400-6528-4f7f-9739-248dfedc3ca2/,50001.0
2014-08-08,2014-09-07,Booker,Cory A,Sale (Full),NFLX,"Netflix, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/7abb2400-6528-4f7f-9739-248dfedc3ca2/,15001.0
2014-08-26,2014-09-02,Roberts,Pat,Sale (Full),KSU,Kansas City Southern (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/30b754b9-ef64-4993-91ff-1fa1078e1c05/,15001.0
2014-08-26,2014-09-02,Roberts,Pat,Sale (Full),AAPL,Apple Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/30b754b9-ef64-4993-91ff-1fa1078e1c05/,15001.0
2014-10-01,2014-10-30,Toomey,Patrick J,Sale (Full),VIXY,ProShares VIX Short-Term Futures (NYSEArca),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/6daf2369-34e9-4df7-a327-d9498fa21c84/,15001.0
2014-10-15,2014-10-28,Whitehouse,Sheldon,Sale (Full),COF,Capital One Financial Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,15001.0
2014-10-02,2014-10-28,Whitehouse,Sheldon,Sale (Full),YUM,"Yum! Brands, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/ef223527-51b4-4cff-966f-fc2f989d36e8/,15001.0
2014-10-20,2014-10-22,Hoeven,John,Purchase,AJG,Arthur J Gallagher & Co. (NYSE),"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,100001.0
2014-10-20,2014-10-22,Hoeven,John,Purchase,CMI,Cummins Inc. (NYSE),"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,100001.0
